Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2023-01-03,123.47061920166016,129.22606012096526,122.58212678977998,128.61399342864948,112117500
2023-01-04,124.74412536621094,127.01471627825023,123.48049504473303,125.26734659008874,89113600
2023-01-05,123.42125701904297,126.1360903730334,123.16458728849297,125.50427521319664,80962700
2023-01-06,127.96243286132812,128.62386318797923,123.29292365349042,124.39860396256954,87754700
2023-01-09,128.48565673828125,131.70397802412538,128.22898699932045,128.80157186038267,70790800
2023-01-10,129.05824279785156,129.5814640429866,126.48161843097465,128.59425187274505,63896200
2023-01-11,131.78297424316406,131.8027076431601,128.7917222043787,129.57161328681664,69458900
2023-01-12,131.70396423339844,132.5430854442494,129.75915527463124,132.16795510561155,71379600
2023-01-13,133.03665161132812,133.1946091085103,129.97630418761793,130.34156771915266,57809700
2023-01-17,134.20159912109375,135.53432625738486,132.41474784548592,133.10579321952497,63646600
2023-01-18,133.48097229003906,136.83748784767334,133.303266255476,135.07038458340625,69672800
2023-01-19,133.54019165039062,134.50765533885576,132.0593734264766,132.36540678256628,58280400
2023-01-20,136.10693359375,136.2550244536786,132.50361529041555,133.55005775379874,80223600
2023-01-23,139.3054962158203,141.4872415250396,136.136538833656,136.3537266947968,81760300
2023-01-24,140.7073516845703,141.32930018220668,138.50587272731724,138.51573942626007,66435100
2023-01-25,140.0458984375,140.60860145852004,137.03489874919626,139.0883015683729,65799300
2023-01-26,142.1190643310547,142.4053492196724,140.08539469738815,141.33915831562229,54105100
2023-01-27,144.06387329101562,145.34725220094586,141.2503274776649,141.3293062635936,70555800
2023-01-30,141.17132568359375,143.68871946900538,141.02324989890042,143.10626796433064,64015300
2023-01-31,142.44482421875,142.49418783542103,140.46053336332577,140.87516062877287,65874500
2023-02-01,143.5702667236328,144.7351849828254,139.51283893795213,142.1289453100569,77663600
2023-02-02,148.8913116455078,149.24669348189832,146.27519097291648,146.99585146947285,118339000
2023-02-03,152.52427673339844,155.36745253753844,145.93957351960248,146.13701293629845,154357300
2023-02-06,149.7896728515625,151.14216353764462,148.85182446235734,150.6189423816567,69858300
2023-02-07,152.67234802246094,153.24493285853742,148.71363285221915,148.71363285221915,83322600
2023-02-08,149.97723388671875,152.6032212233435,149.23682494273,151.9121758883524,64120100
2023-02-09,148.94068908691406,152.35644968138112,148.49644664158131,151.81347999768036,56007100
2023-02-10,149.3065185546875,149.63279778324025,147.5367173791987,147.77401547814478,57450700
2023-02-13,152.11448669433594,152.5198501850578,149.21753098880535,149.24719136406156,62199000
2023-02-14,151.4718017578125,152.03537903023067,149.15820209418638,150.40398304690967,61707600
2023-02-15,153.57778930664062,153.74586979762776,151.15542974516777,151.38283098748437,65573800
2023-02-16,151.97605895996094,154.5664988468429,151.6201193880744,151.77830301928833,68167900
2023-02-17,150.8291473388672,151.2740680510971,149.1483273778538,150.63140647639398,59144100
2023-02-21,146.80503845214844,149.59323413897312,146.735835945734,148.50563686680903,58867200
2023-02-22,147.23020935058594,148.2584708875877,145.4999504020457,147.19065212608928,51011300
2023-02-23,147.71466064453125,148.6440592209031,145.57903837527164,148.3968793904493,48394200
2023-02-24,145.0550537109375,145.52963487686296,144.07621591246942,145.45053550143152,55469600
2023-02-27,146.25137329101562,147.48727255329774,145.7866739614647,146.04375066348234,44998500
2023-02-28,145.7471466064453,147.39830637793327,145.17368748018072,145.39120697933842,50547000
2023-03-01,143.67080688476562,145.56914623363537,143.37418806129784,145.17366452678502,55479000
2023-03-02,144.26405334472656,145.05503189340783,142.27671766674902,142.75131384795435,52238100
2023-03-03,149.3262939453125,149.4053933099208,145.66803508048022,146.3700174255545,70732300
2023-03-06,152.09471130371094,154.53684949594242,151.72888994336137,152.05515407809082,87558000
2023-03-07,149.8898468017578,152.29242737720674,149.42514753967646,151.96614820893737,56182000
2023-03-08,151.1455078125,151.7387454006673,150.11724642455638,151.086187071015,47204800
2023-03-09,148.89125061035156,152.79668921738386,148.53531102339875,151.82774843104707,53833600
2023-03-10,146.8248291015625,149.23730682187812,145.94486944980744,148.51554589298388,68572400
2023-03-13,148.77259826660156,151.41247705797895,146.03384150790953,146.14260123729179,84457100
2023-03-14,150.86866760253906,151.66952778576984,148.4067663113716,149.57344779147112,73695900
2023-03-15,151.26416015625,151.5212217243897,148.2287848840252,149.4844625281262,77167900
2023-03-16,154.0919189453125,154.69503836094123,149.92940378389787,150.443542077547,76161100
2023-03-17,153.2515106201172,154.97188784795392,152.53963142836827,154.31932940774055,98944600
2023-03-20,155.6244354248047,156.03971087014546,152.4110972116962,153.3207323821306,73641400
2023-03-21,157.48321533203125,157.60185682514813,154.7741189081368,155.54533387337614,73938300
2023-03-22,156.049560546875,160.31093808710082,156.02978193767285,157.50297904673437,75701800
2023-03-23,157.1371612548828,159.72761624709545,155.9012620500719,157.03829837049406,67622100
2023-03-24,158.4422607421875,158.53124185441158,156.06934056292735,157.06794158008978,59196500
2023-03-27,156.49452209472656,158.9564390941657,156.0891434767474,158.13580009435265,52390300
2023-03-28,155.87161254882812,156.7021483382564,154.2204529064242,156.18801000892674,45992200
2023-03-29,158.9564208984375,159.23326112130354,157.5524411719995,157.57220469744664,51305700
2023-03-30,160.52847290039062,160.63723263142947,159.45077243888025,159.70783403649028,49501700
2023-03-31,163.03982543945312,163.1387034155815,160.08356404514288,160.60758412796915,68749800
2023-04-03,164.2954864501953,164.4141279400383,162.36748680694973,162.41692578993744,56976200
2023-04-04,163.7615966796875,164.95793868784338,163.24745837486338,164.72065569074036,46278300
2023-04-05,161.91268920898438,163.1881457283857,159.9748075653386,162.88164511746857,51511700
2023-04-06,162.80252075195312,163.09913955417102,160.17252383849814,160.59766588857192,45390100
2023-04-10,160.20217895507812,160.20217895507812,158.27417943389275,159.59905960879362,47716900
2023-04-11,158.98609924316406,160.52849925536958,158.69936213850445,160.5186174915291,47644200
2023-04-12,158.29396057128906,160.2318418847326,157.97756316447288,159.40132132182822,50133100
2023-04-13,163.6923828125,163.92968090167284,159.59908506589906,159.8067227797579,68445600
2023-04-14,163.34634399414062,164.44382316709542,161.9720245871667,162.73332768738865,49386500
2023-04-17,163.36611938476562,163.52431812616888,162.179658997566,163.22769925770336,41516200
2023-04-18,164.59213256835938,165.5215312907478,163.78137535549732,164.2263111895451,49923000
2023-04-19,165.73904418945312,166.26306428456468,163.67260909854727,163.92968580784367,47720200
2023-04-20,164.77008056640625,165.9763194310247,163.69238005042013,164.21640012100644,52456400
2023-04-21,163.15850830078125,164.57237004978649,162.6344881335745,163.18816868106364,58337300
2023-04-24,163.46495056152344,163.73190897536492,162.04119246991291,163.13867140830786,41949600
2023-04-25,161.9225616455078,164.43390199308925,161.88300442555024,163.3265412208214,48714100
2023-04-26,161.91268920898438,163.41554697412082,160.96352700012233,161.22058862196803,45498800
2023-04-27,166.51022338867188,166.65852525119462,163.32654598880194,163.32654598880194,64902300
2023-04-28,167.76589965820312,167.93399523157063,165.98621681699632,166.58933625125528,55275900
2023-05-01,167.6769256591797,168.52722497825897,166.7376452115908,167.37042504765017,52472900
2023-05-02,166.63876342773438,168.42835824019505,165.65004401355455,168.17128153704527,48425700
2023-05-03,165.56105041503906,168.9919077307227,165.27432844465707,167.58792807875122,65136000
2023-05-04,163.91976928710938,165.1556684360722,162.45646891900202,163.02992793451995,81235400
2023-05-05,171.61204528808594,172.3338062754006,168.8337309104411,169.05125040031595,113453200
2023-05-08,171.54281616210938,171.88887398730245,170.1684967974759,170.53431814830344,55962800
2023-05-09,169.8323516845703,171.58237432630546,169.6642711810136,171.09791142977792,45326900
2023-05-10,171.6021270751953,172.0668263741992,169.96084934197563,171.06822526711633,53724500
2023-05-11,171.78997802734375,172.62049861686478,170.22779972610607,171.88885599180736,49514700
2023-05-12,170.85931396484375,172.33453386665053,169.30487018579348,171.89889318697968,45533100
2023-05-15,170.36428833007812,171.49298697857782,169.77023004875,171.44347960387887,37266700
2023-05-16,170.36428833007812,171.42367363249335,170.0969605927275,170.28507955206572,42110300
2023-05-17,170.97811889648438,171.21573009717264,168.7306172756303,170.00783790944186,57951600
2023-05-18,173.3147430419922,173.50286200077872,170.86922679282654,171.28506154552485,65496700
2023-05-19,173.42364501953125,174.64144781679403,173.20582466782196,174.64144781679403,55809500
2023-05-22,172.47317504882812,172.978129154019,171.73060970122336,172.25535467159494,43570900
2023-05-23,169.8593292236328,171.66129487805824,169.58210606257185,171.4137731194303,50747300
2023-05-24,170.1365509033203,170.71080319124064,168.82964388505917,169.393985633902,45143500
2023-05-25,171.275146484375,172.1761141248664,169.98803043113716,170.70089424192957,56058300
2023-05-26,173.69094848632812,174.0275895351184,171.39395459047836,171.60187949980389,54835000
2023-05-30,175.5424041748047,177.21565339375218,174.81964499350826,175.20577826653255,55964400
2023-05-31,175.492919921875,177.57210865507508,175.00777185545402,175.57212869440465,99625300
2023-06-01,178.3047637939453,178.33446519527467,175.17608525533697,175.9384564736909,68901800
2023-06-02,179.15625,179.97802407047664,177.4830004559296,179.2354587774889,61996900
2023-06-05,177.79981994628906,183.1165821425977,176.275077551752,180.8195882273271,121946500
2023-06-06,177.43348693847656,178.33445457100666,175.6711182885981,178.18594757320713,64848400
2023-06-07,176.05728149414062,179.41367589423808,175.56223798316736,176.67113061333816,61944600
2023-06-08,178.7799835205078,179.0472960832653,175.70081292010406,176.13643842858787,50214900
2023-06-09,179.1661376953125,180.42353722036253,178.8394071951532,179.70077799078283,48900000
2023-06-12,181.96807861328125,182.0670933538608,179.17604119777275,179.473070311983,54274900
